task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	6f/63049a	678250	SPLIT_LOCI	COMPLETED	0	2022-01-17 10:11:36.898	54m 40s	54m 4s	50.8%	99.8 GB	103.9 GB	31.7 GB	17.9 GB
8	2e/8e1057	690374	SUSIE_FINE_MAPPING (7)	COMPLETED	0	2022-01-17 11:06:23.895	1m 13s	15.4s	34.9%	216.7 MB	407.3 MB	35 MB	6.3 KB
10	3f/0ef3f3	690382	SUSIE_FINE_MAPPING (9)	COMPLETED	0	2022-01-17 11:06:24.342	1m 12s	17.1s	44.7%	216.5 MB	407.4 MB	33.8 MB	6.1 KB
11	4f/7c553a	690389	SUSIE_FINE_MAPPING (10)	COMPLETED	0	2022-01-17 11:06:24.716	1m 12s	15.1s	33.5%	216.7 MB	407.3 MB	31.3 MB	6.1 KB
13	50/d9f043	690390	SUSIE_FINE_MAPPING (12)	COMPLETED	0	2022-01-17 11:06:25.194	1m 11s	18.3s	18.4%	216.6 MB	407.3 MB	26.1 MB	6.3 KB
30	10/567f33	690411	SUSIE_FINE_MAPPING (29)	COMPLETED	0	2022-01-17 11:06:29.222	1m 17s	7.7s	83.5%	630.2 MB	949.2 MB	37.8 MB	6.1 KB
32	32/610b5d	690412	SUSIE_FINE_MAPPING (31)	COMPLETED	0	2022-01-17 11:06:29.401	1m 17s	6s	76.6%	411.8 MB	729.8 MB	28.7 MB	6.1 KB
34	f2/a52fb2	690414	SUSIE_FINE_MAPPING (33)	COMPLETED	0	2022-01-17 11:06:29.895	1m 17s	6s	81.2%	521.5 MB	840.5 MB	37.4 MB	6.2 KB
6	bc/275a13	690365	SUSIE_FINE_MAPPING (5)	COMPLETED	0	2022-01-17 11:06:23.005	1m 33s	31.8s	17.1%	395.3 MB	586.6 MB	30.3 MB	6.1 KB
35	11/991d49	690415	SUSIE_FINE_MAPPING (34)	COMPLETED	0	2022-01-17 11:06:30.136	1m 27s	6.9s	79.2%	539.2 MB	857.6 MB	38.2 MB	6.1 KB
36	0a/57d6d1	690416	SUSIE_FINE_MAPPING (35)	COMPLETED	0	2022-01-17 11:06:30.325	1m 26s	6.2s	80.1%	454.6 MB	773.3 MB	36.2 MB	6.3 KB
37	ed/ffaf69	690418	SUSIE_FINE_MAPPING (36)	COMPLETED	0	2022-01-17 11:06:30.518	1m 31s	7.1s	82.5%	664.6 MB	983.7 MB	38.5 MB	6.1 KB
12	24/4b9ec0	690391	SUSIE_FINE_MAPPING (11)	COMPLETED	0	2022-01-17 11:06:25.568	1m 41s	35.5s	21.4%	219 MB	420.7 MB	26 MB	6.3 KB
41	55/c426b7	690425	SUSIE_FINE_MAPPING (40)	COMPLETED	0	2022-01-17 11:06:32.453	1m 39s	9.4s	82.9%	598.6 MB	917.5 MB	36.4 MB	6.1 KB
40	48/1cbd0f	690429	SUSIE_FINE_MAPPING (39)	COMPLETED	0	2022-01-17 11:06:32.635	1m 39s	5s	81.2%	414.4 MB	617.9 MB	27.9 MB	6.1 KB
3	49/9afd8c	690360	SUSIE_FINE_MAPPING (2)	COMPLETED	0	2022-01-17 11:06:20.331	2m 1s	59.3s	21.5%	1.4 GB	1.7 GB	80.8 MB	6.1 KB
33	c6/589d8f	690413	SUSIE_FINE_MAPPING (32)	COMPLETED	0	2022-01-17 11:06:29.589	1m 52s	20.6s	35.5%	384.6 MB	589 MB	38.3 MB	6.1 KB
39	5f/1b506a	690420	SUSIE_FINE_MAPPING (38)	COMPLETED	0	2022-01-17 11:06:30.723	1m 56s	16.9s	49.6%	591 MB	781.6 MB	47.2 MB	6.1 KB
46	37/c2f581	690445	SUSIE_FINE_MAPPING (45)	COMPLETED	0	2022-01-17 11:06:33.911	1m 58s	18.6s	56.7%	1 GB	1.2 GB	53.8 MB	6.1 KB
45	27/13b2e7	690439	SUSIE_FINE_MAPPING (44)	COMPLETED	0	2022-01-17 11:06:33.583	2m 3s	19.3s	85.8%	1.2 GB	1.4 GB	73 MB	7.1 KB
38	a1/69924a	690422	SUSIE_FINE_MAPPING (37)	COMPLETED	0	2022-01-17 11:06:30.907	2m 11s	30.2s	29.0%	237.2 MB	486.5 MB	48.2 MB	6.3 KB
48	0b/b8bf10	690457	SUSIE_FINE_MAPPING (47)	COMPLETED	0	2022-01-17 11:06:34.368	2m 7s	11.3s	81.3%	685.4 MB	1004.1 MB	43.4 MB	6.3 KB
52	e8/9b04c6	690478	SUSIE_FINE_MAPPING (51)	COMPLETED	0	2022-01-17 11:06:35.357	2m 16s	11s	83.4%	888 MB	1.2 GB	51.8 MB	6.1 KB
54	4b/2dba0a	690481	SUSIE_FINE_MAPPING (53)	COMPLETED	0	2022-01-17 11:06:36.015	2m 20s	9.1s	73.0%	673.7 MB	992.1 MB	37.1 MB	6.1 KB
47	c9/ec73d8	690452	SUSIE_FINE_MAPPING (46)	COMPLETED	0	2022-01-17 11:06:34.096	2m 27s	23.1s	20.1%	216.7 MB	407.3 MB	34.9 MB	6.1 KB
49	16/1de507	690470	SUSIE_FINE_MAPPING (48)	COMPLETED	0	2022-01-17 11:06:34.564	2m 27s	15.3s	40.4%	401.5 MB	592.2 MB	36.3 MB	6.1 KB
57	cc/e4416e	690482	SUSIE_FINE_MAPPING (56)	COMPLETED	0	2022-01-17 11:06:36.204	2m 25s	15.8s	83.0%	729.2 MB	1 GB	42.1 MB	6.1 KB
51	1f/5d4009	690476	SUSIE_FINE_MAPPING (50)	COMPLETED	0	2022-01-17 11:06:34.967	2m 37s	20.5s	34.8%	588.7 MB	779.7 MB	40.1 MB	6.1 KB
56	da/c51838	690483	SUSIE_FINE_MAPPING (55)	COMPLETED	0	2022-01-17 11:06:36.389	2m 36s	16.3s	85.5%	1.1 GB	1.5 GB	59.8 MB	6.1 KB
17	27/86f5bd	690394	SUSIE_FINE_MAPPING (16)	COMPLETED	0	2022-01-17 11:06:26.270	2m 50s	1m 26s	8.4%	921.7 MB	1.2 GB	51 MB	6.1 KB
18	77/2ba42a	690396	SUSIE_FINE_MAPPING (17)	COMPLETED	0	2022-01-17 11:06:26.661	2m 50s	1m 26s	10.5%	541.9 MB	864 MB	33.6 MB	6.1 KB
19	36/3c7199	690397	SUSIE_FINE_MAPPING (18)	COMPLETED	0	2022-01-17 11:06:26.857	2m 50s	1m 26s	8.8%	524.5 MB	846.6 MB	33.6 MB	6.1 KB
20	96/cd19b7	690398	SUSIE_FINE_MAPPING (19)	COMPLETED	0	2022-01-17 11:06:27.041	2m 51s	1m 26s	9.7%	501.3 MB	822.8 MB	29.2 MB	6.1 KB
