task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	42/874274	161168	SPLIT_LOCI	COMPLETED	0	2022-01-12 14:46:32.168	27m 9s	26m 59s	99.4%	69.1 GB	71.2 GB	22.8 GB	22.8 GB
6	ed/efa05c	163208	SUSIE_FINE_MAPPING (5)	COMPLETED	0	2022-01-12 15:13:49.329	22.3s	14.5s	64.0%	439.6 MB	762.4 MB	29.7 MB	6.3 KB
3	30/3adf58	163202	SUSIE_FINE_MAPPING (2)	COMPLETED	0	2022-01-12 15:13:47.005	29.6s	19.7s	68.6%	767.9 MB	1.1 GB	45.7 MB	6.3 KB
8	7a/1cdd75	163215	SUSIE_FINE_MAPPING (7)	COMPLETED	0	2022-01-12 15:13:52.623	24.1s	12.7s	68.5%	905 MB	1.2 GB	42.1 MB	8.9 KB
10	d8/54137c	163219	SUSIE_FINE_MAPPING (9)	COMPLETED	0	2022-01-12 15:13:54.385	22.4s	14.2s	75.8%	933.9 MB	1.2 GB	48 MB	6.3 KB
2	5f/4532d2	163200	SUSIE_FINE_MAPPING (1)	COMPLETED	0	2022-01-12 15:13:45.698	35.9s	26.9s	65.1%	535 MB	857.6 MB	30.8 MB	6.3 KB
4	21/edece1	163206	SUSIE_FINE_MAPPING (3)	COMPLETED	0	2022-01-12 15:13:48.514	33.1s	21s	60.6%	521.7 MB	849.2 MB	30.5 MB	6.3 KB
7	6b/2db78b	163210	SUSIE_FINE_MAPPING (6)	COMPLETED	0	2022-01-12 15:13:50.182	31.5s	22.8s	69.1%	778.8 MB	1.1 GB	48.9 MB	6.3 KB
11	e3/46a96f	163217	SUSIE_FINE_MAPPING (10)	COMPLETED	0	2022-01-12 15:13:53.426	28.3s	16.2s	63.8%	379.4 MB	701.5 MB	26.8 MB	6.3 KB
13	91/0cef4f	163223	SUSIE_FINE_MAPPING (12)	COMPLETED	0	2022-01-12 15:13:55.922	25.8s	14.6s	70.0%	510.6 MB	832.5 MB	32.4 MB	6.3 KB
9	94/b0be8b	163213	SUSIE_FINE_MAPPING (8)	COMPLETED	0	2022-01-12 15:13:52.316	34.3s	20.2s	64.6%	379 MB	697.2 MB	27 MB	6.3 KB
15	9a/28042e	163227	SUSIE_FINE_MAPPING (14)	COMPLETED	0	2022-01-12 15:13:58.659	27.9s	16.5s	66.9%	523.2 MB	842.3 MB	33.1 MB	6.3 KB
17	eb/d3d813	163229	SUSIE_FINE_MAPPING (16)	COMPLETED	0	2022-01-12 15:13:59.595	27s	14.1s	70.6%	627.5 MB	946.9 MB	37.6 MB	7.7 KB
16	ad/43b499	163233	SUSIE_FINE_MAPPING (15)	COMPLETED	0	2022-01-12 15:14:00.730	25.9s	15.9s	68.6%	523.6 MB	842.3 MB	33.3 MB	8.9 KB
12	ae/9ca252	163221	SUSIE_FINE_MAPPING (11)	COMPLETED	0	2022-01-12 15:13:55.119	46.4s	26.5s	71.3%	662.8 MB	888.9 MB	42.5 MB	7.1 KB
14	2a/cac39e	163225	SUSIE_FINE_MAPPING (13)	COMPLETED	0	2022-01-12 15:13:57.568	44.1s	21.2s	58.1%	526 MB	848.4 MB	32.8 MB	6.3 KB
23	7a/bd8fc0	163244	SUSIE_FINE_MAPPING (22)	COMPLETED	0	2022-01-12 15:14:06.118	35.7s	19.8s	49.7%	624.6 MB	943.2 MB	43.2 MB	6.3 KB
34	4f/37fa8e	163264	SUSIE_FINE_MAPPING (33)	COMPLETED	0	2022-01-12 15:14:15.239	26.7s	13.6s	40.0%	511.7 MB	831.8 MB	34.3 MB	10.2 KB
18	79/976a53	163231	SUSIE_FINE_MAPPING (17)	COMPLETED	0	2022-01-12 15:14:00.135	46.4s	19.6s	69.4%	840.9 MB	1.1 GB	50.9 MB	10.8 KB
19	20/a2bcf9	163235	SUSIE_FINE_MAPPING (18)	COMPLETED	0	2022-01-12 15:14:02.333	44.3s	14.8s	51.1%	519.1 MB	841.4 MB	30.8 MB	6.3 KB
26	e0/00eb73	163253	SUSIE_FINE_MAPPING (25)	COMPLETED	0	2022-01-12 15:14:10.518	36.3s	20.9s	62.4%	712.7 MB	1 GB	43.5 MB	6.3 KB
55	85/9ec824	163304	SUSIE_FINE_MAPPING (54)	COMPLETED	0	2022-01-12 15:14:24.968	22.1s	6.8s	56.2%	388.8 MB	597.1 MB	28.7 MB	6.3 KB
