Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,lineage,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR7650729,ATAC-seq,130,7671684082,PRJNA484801,SAMN09769836,3235449960,Bulk_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513662,GSM3320229,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320229,primary blood,SRP156496,no_treament
SRR7650730,ATAC-seq,130,8755083677,PRJNA484801,SAMN09769835,3691300841,Bulk_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513663,GSM3320230,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320230,primary blood,SRP156496,treatment1
SRR7650731,ATAC-seq,131,8483939942,PRJNA484801,SAMN09769834,3602660374,Mem_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513664,GSM3320231,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320231,primary blood,SRP156496,no_treament
SRR7650733,ATAC-seq,132,7063118195,PRJNA484801,SAMN09769832,3012041722,Naive_B,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513666,GSM3320233,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320233,primary blood,SRP156496,no_treament
SRR7650735,ATAC-seq,130,8705610661,PRJNA484801,SAMN09769830,3659122131,Plasmablasts,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513668,GSM3320235,Illumina HiSeq 4000,PAIRED,other,GENOMIC,B,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320235,primary blood,SRP156496,no_treament
SRR7650736,ATAC-seq,132,8457505958,PRJNA484801,SAMN09769829,3669541907,CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513669,GSM3320236,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD8,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320236,primary blood,SRP156496,no_treament
SRR7650750,ATAC-seq,122,4591000527,PRJNA484801,SAMN09769815,1956986701,Memory_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513683,GSM3320250,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320250,primary blood,SRP156496,treatment1
SRR7650751,ATAC-seq,134,10267057059,PRJNA484801,SAMN09769814,4376703284,Memory_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513684,GSM3320251,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320251,primary blood,SRP156496,no_treament
SRR7650752,ATAC-seq,131,7936679262,PRJNA484801,SAMN09769963,3378023343,Memory_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513685,GSM3320252,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320252,primary blood,SRP156496,treatment1
SRR7650753,ATAC-seq,131,8169687873,PRJNA484801,SAMN09769962,3485731162,Naive_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513686,GSM3320253,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320253,primary blood,SRP156496,no_treament
SRR7650754,ATAC-seq,130,9269036496,PRJNA484801,SAMN09769813,3921608556,Naive_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513687,GSM3320254,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320254,primary blood,SRP156496,treatment1
SRR7650755,ATAC-seq,131,10924547250,PRJNA484801,SAMN09769812,4635256811,Regulatory_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513688,GSM3320255,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320255,primary blood,SRP156496,no_treament
SRR7650756,ATAC-seq,132,3569919001,PRJNA484801,SAMN09769965,1535912454,Regulatory_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4513689,GSM3320256,Illumina HiSeq 4000,PAIRED,other,GENOMIC,CD4,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320256,primary blood,SRP156496,treatment1
