Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donor,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,lineage,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Treatment
SRR11007061,RNA-Seq,192,8160479782,PRJNA484735,SAMN09768434,2579781267,CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510601,GSM3319750,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319750,primary blood,SRP156452,no_treament
SRR11007062,RNA-Seq,195,15315982752,PRJNA484735,SAMN09768433,4836924733,CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510602,GSM3319751,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319751,primary blood,SRP156452,treatment1
SRR11007063,RNA-Seq,195,13128598440,PRJNA484735,SAMN09768432,4155236675,Central_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510603,GSM3319752,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319752,primary blood,SRP156452,no_treament
SRR11007064,RNA-Seq,193,4866405615,PRJNA484735,SAMN09768431,1546902050,Central_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510604,GSM3319753,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319753,primary blood,SRP156452,treatment1
SRR11007065,RNA-Seq,195,9601276948,PRJNA484735,SAMN09768430,3023735003,Effector_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510605,GSM3319754,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319754,primary blood,SRP156452,no_treament
SRR11007066,RNA-Seq,196,9273440229,PRJNA484735,SAMN09768429,2953466798,Effector_memory_CD8pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510606,GSM3319755,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319755,primary blood,SRP156452,treatment1
SRR11007067,RNA-Seq,195,12134790207,PRJNA484735,SAMN09768428,3835219948,Naive_CD8_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510607,GSM3319756,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319756,primary blood,SRP156452,no_treament
SRR11007068,RNA-Seq,196,14605758793,PRJNA484735,SAMN09768427,4965780556,Naive_CD8_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510608,GSM3319757,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD8,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319757,primary blood,SRP156452,treatment1
SRR11007069,RNA-Seq,193,7722603615,PRJNA484735,SAMN09768426,2432167725,Gamma_delta_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510609,GSM3319758,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,GD,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319758,primary blood,SRP156452,no_treament
SRR11007070,RNA-Seq,196,3757389853,PRJNA484735,SAMN09768463,1133629836,Gamma_delta_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510610,GSM3319759,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,GD,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319759,primary blood,SRP156452,treatment1
SRR11007071,RNA-Seq,195,8127162400,PRJNA484735,SAMN09768462,2594121194,Effector_CD4pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510611,GSM3319760,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319760,primary blood,SRP156452,no_treament
SRR11007072,RNA-Seq,192,7825870115,PRJNA484735,SAMN09768461,2647822574,Effector_CD4pos_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510612,GSM3319761,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319761,primary blood,SRP156452,treatment1
SRR11007073,RNA-Seq,196,10836934814,PRJNA484735,SAMN09768460,3546103003,Follicular_T_Helper,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510613,GSM3319762,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319762,primary blood,SRP156452,no_treament
SRR11007074,RNA-Seq,193,11207562830,PRJNA484735,SAMN09768459,3613734326,Follicular_T_Helper,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510614,GSM3319763,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319763,primary blood,SRP156452,treatment1
SRR11007075,RNA-Seq,196,10556929565,PRJNA484735,SAMN09768458,3461487346,Memory_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510615,GSM3319764,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319764,primary blood,SRP156452,no_treament
SRR11007076,RNA-Seq,194,7292922202,PRJNA484735,SAMN09768457,2482506175,Memory_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510616,GSM3319765,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319765,primary blood,SRP156452,treatment1
SRR11007077,RNA-Seq,195,8771652456,PRJNA484735,SAMN09768456,2797943886,Memory_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510617,GSM3319766,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319766,primary blood,SRP156452,no_treament
SRR11007078,RNA-Seq,195,10110585724,PRJNA484735,SAMN09768454,3336084216,Memory_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510618,GSM3319767,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319767,primary blood,SRP156452,treatment1
SRR11007079,RNA-Seq,196,11808613752,PRJNA484735,SAMN09768453,3859944254,Naive_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510619,GSM3319768,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319768,primary blood,SRP156452,no_treament
SRR11007080,RNA-Seq,192,10988322835,PRJNA484735,SAMN09768452,3784916463,Naive_Teffs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510620,GSM3319769,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319769,primary blood,SRP156452,treatment1
SRR11007081,RNA-Seq,193,10072048817,PRJNA484735,SAMN09768451,3223000465,Naive_Tregs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510621,GSM3319770,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319770,primary blood,SRP156452,no_treament
SRR11007082,RNA-Seq,195,8833384775,PRJNA484735,SAMN09768442,2894554211,Regulatory_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510622,GSM3319771,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319771,primary blood,SRP156452,no_treament
SRR11007083,RNA-Seq,196,5221528425,PRJNA484735,SAMN09768415,1633489745,Regulatory_T,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510623,GSM3319772,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319772,primary blood,SRP156452,treatment1
SRR11007084,RNA-Seq,195,11695686307,PRJNA484735,SAMN09768455,3810824321,Th1_precursors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1001,SRX4510624,GSM3319773,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,CD4,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319773,primary blood,SRP156452,no_treament
