Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donorid,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,source_name,SRA Study
SRR2920469,OTHER,152,1257813224,PRJNA301969,SAMN04262109,498852967,common myeloid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4983,SRX1427792,GSM1937379,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937379,primary human blood cell from fresh sample,CMP,SRP066100
SRR2920470,OTHER,152,1455210456,PRJNA301969,SAMN04262110,571808638,common myeloid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4983,SRX1427793,GSM1937380,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937380,primary human blood cell from fresh sample,CMP,SRP066100
SRR2920473,OTHER,152,1329950600,PRJNA301969,SAMN04262113,527992127,megakaryocyte erythroid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4983,SRX1427796,GSM1937383,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937383,primary human blood cell from fresh sample,MEP,SRP066100
SRR2920475,OTHER,152,1276139712,PRJNA301969,SAMN04262115,504572193,CD14+ monocyte cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4983,SRX1427798,GSM1937385,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937385,primary human blood cell from fresh sample,Mono,SRP066100
SRR2920478,OTHER,152,1200138344,PRJNA301969,SAMN04262118,551707268,hematopoietic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6792,SRX1427801,GSM1937388,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937388,primary human blood cell from fresh sample,HSC,SRP066100
SRR2920479,OTHER,152,1077631056,PRJNA301969,SAMN04262119,495254398,multipotent progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6792,SRX1427802,GSM1937389,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937389,primary human blood cell from fresh sample,MPP,SRP066100
SRR2920481,OTHER,152,1848604240,PRJNA301969,SAMN04262121,854190981,common myeloid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6792,SRX1427804,GSM1937391,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937391,primary human blood cell from fresh sample,CMP,SRP066100
SRR2920484,OTHER,152,2070668184,PRJNA301969,SAMN04262077,947154075,granulocyte macrophage progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6792,SRX1427807,GSM1937394,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937394,primary human blood cell from fresh sample,GMP,SRP066100
SRR2920488,OTHER,152,2481512024,PRJNA301969,SAMN04262081,1142311304,CD14+ monocyte cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6792,SRX1427811,GSM1937398,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937398,primary human blood cell from fresh sample,Mono,SRP066100
SRR2920494,OTHER,152,2335814096,PRJNA301969,SAMN04262087,1163682372,CD8+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1022,SRX1427817,GSM1937404,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937404,primary human blood cell from fresh sample,CD8Tcell,SRP066100
SRR2920496,OTHER,152,9712589024,PRJNA301969,SAMN04262089,5118212475,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427819,GSM1937406,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937406,primary human blood cell from fresh sample,CD4Tcell,SRP066100
SRR2920497,OTHER,152,9357526296,PRJNA301969,SAMN04262090,4705996547,CD8+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427820,GSM1937407,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937407,primary human blood cell from fresh sample,CD8Tcell,SRP066100
SRR2920498,OTHER,152,3424554832,PRJNA301969,SAMN04262091,1918360185,common lymphoid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427821,GSM1937408,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937408,primary human blood cell from fresh sample,CLP,SRP066100
SRR2920501,OTHER,152,4033518360,PRJNA301969,SAMN04262094,2282076112,common myeloid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427824,GSM1937411,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937411,primary human blood cell from fresh sample,CMP,SRP066100
SRR2920502,OTHER,152,8101828912,PRJNA301969,SAMN04262095,4559160171,CD71+GPA+ erythroblast cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427825,GSM1937412,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937412,primary human blood cell from fresh sample,Ery,SRP066100
SRR2920503,OTHER,152,4249369304,PRJNA301969,SAMN04262096,2385320981,CD71+GPA+ erythroblast cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427826,GSM1937413,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937413,primary human blood cell from fresh sample,Ery,SRP066100
SRR2920504,OTHER,152,5044196000,PRJNA301969,SAMN04262097,2830934647,CD71+GPA+ erythroblast cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427827,GSM1937414,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937414,primary human blood cell from fresh sample,Ery,SRP066100
SRR2920506,OTHER,152,2891196560,PRJNA301969,SAMN04262099,1637170633,hematopoietic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427829,GSM1937416,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937416,primary human blood cell from fresh sample,HSC,SRP066100
SRR2920507,OTHER,152,4948320936,PRJNA301969,SAMN04262100,2783033869,hematopoietic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427830,GSM1937417,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937417,primary human blood cell from fresh sample,HSC,SRP066100
SRR2920508,OTHER,152,3706262968,PRJNA301969,SAMN04262101,2084543972,megakaryocyte erythroid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427831,GSM1937418,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937418,primary human blood cell from fresh sample,MEP,SRP066100
SRR2920509,OTHER,152,6579428224,PRJNA301969,SAMN04262102,3706217858,multipotent progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427832,GSM1937419,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937419,primary human blood cell from fresh sample,MPP,SRP066100
SRR2920511,OTHER,152,9507503784,PRJNA301969,SAMN04262104,4775978623,CD56+ natural killer cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427834,GSM1937421,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937421,primary human blood cell from fresh sample,NKcell,SRP066100
SRR2920512,OTHER,152,6444622768,PRJNA301969,SAMN04262105,3377573906,CD56+ natural killer cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1427835,GSM1937422,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937422,primary human blood cell from fresh sample,NKcell,SRP066100
