Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donorid,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,source_name,SRA Study
SRR2753073,RNA-Seq,152,2499434952,PRJNA299579,SAMN04202270,917802411,CD19+CD20+ B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1022,SRX1363166,GSM1915578,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915578,primary human blood cell from fresh sample,Bcell,SRP065216
SRR2753074,RNA-Seq,152,3466260440,PRJNA299579,SAMN04202271,1271795980,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1022,SRX1363167,GSM1915579,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915579,primary human blood cell from fresh sample,CD4Tcell,SRP065216
SRR2753075,RNA-Seq,152,2741578704,PRJNA299579,SAMN04202272,1021980377,CD8+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1022,SRX1363168,GSM1915580,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915580,primary human blood cell from fresh sample,CD8Tcell,SRP065216
SRR2753076,RNA-Seq,152,2126469056,PRJNA299579,SAMN04202273,780195374,CD56+ natural killer cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1022,SRX1363169,GSM1915581,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915581,primary human blood cell from fresh sample,NKcell,SRP065216
SRR2753077,RNA-Seq,152,5392149384,PRJNA299579,SAMN04202274,2031941214,CD19+CD20+ B cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1363170,GSM1915582,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915582,primary human blood cell from fresh sample,Bcell,SRP065216
SRR2753078,RNA-Seq,152,5504681216,PRJNA299579,SAMN04202275,2020270092,CD4+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1363171,GSM1915583,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915583,primary human blood cell from fresh sample,CD4Tcell,SRP065216
SRR2753079,RNA-Seq,152,5096283056,PRJNA299579,SAMN04202276,1866407371,CD8+ T cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1363172,GSM1915584,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915584,primary human blood cell from fresh sample,CD8Tcell,SRP065216
SRR2753080,RNA-Seq,152,5481372776,PRJNA299579,SAMN04202277,2006443573,common lymphoid progenitor cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1363173,GSM1915585,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915585,primary human blood cell from fresh sample,CLP,SRP065216
SRR2753081,RNA-Seq,152,4500293792,PRJNA299579,SAMN04202278,1665535255,CD71+GPA+ erythroblast cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1363174,GSM1915586,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915586,primary human blood cell from fresh sample,Ery,SRP065216
SRR2753082,RNA-Seq,152,5944519512,PRJNA299579,SAMN04202279,2190158548,CD56+ natural killer cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2596,SRX1363175,GSM1915587,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915587,primary human blood cell from fresh sample,NKcell,SRP065216
