Run,Age,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,treatment
SRR11909913,30-40,ATAC-seq,152,1639433088,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086993,Human,631956173,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456545,HiSeq X Ten,D1,LPS-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LPS-D1-2,female,SRP265675,blood,LPS challenge Donor 1-2
SRR11909914,30-40,ATAC-seq,152,1662692432,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086992,Human,634797370,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456544,HiSeq X Ten,D1,LPS-D1-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LPS-D1-1,female,SRP265675,blood,LPS challenge Donor 1-1
SRR11909915,30-40,ATAC-seq,152,2794089232,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087059,Human,1213021149,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456543,HiSeq X Ten,D4,R848-D4-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,R848-D4-2,female,SRP265675,blood,R848 challenge Donor 4-2
SRR11909916,30-40,ATAC-seq,152,2648579632,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087058,Human,1164278902,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456542,HiSeq X Ten,D4,R848-D4-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,R848-D4-1,female,SRP265675,blood,R848 challenge Donor 4-1
SRR11909917,30-40,ATAC-seq,152,3676962992,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087057,Human,1633085552,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456541,HiSeq X Ten,D4,LTA-D4-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LTA-D4-2,female,SRP265675,blood,LTA challenge Donor 4-2
SRR11909918,30-40,ATAC-seq,152,2640023248,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087056,Human,1139104723,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456540,HiSeq X Ten,D4,LTA-D4-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LTA-D4-1,female,SRP265675,blood,LTA challenge Donor 4-1
SRR11909919,30-40,ATAC-seq,152,2556425984,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087055,Human,1108654348,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456539,HiSeq X Ten,D4,LPS-D4-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LPS-D4-2,female,SRP265675,blood,LPS challenge Donor 4-2
SRR11909920,30-40,ATAC-seq,152,2386098584,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087054,Human,1017745329,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456538,HiSeq X Ten,D4,LPS-D4-1,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,LPS-D4-1,female,SRP265675,blood,LPS challenge Donor 4-1
SRR11909921,30-40,ATAC-seq,152,4080037352,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15086991,Human,1623576493,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456537,HiSeq X Ten,D1,HMGB1-D1-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,HMGB1-D1-2,female,SRP265675,blood,HMGB1 challenge Donor 1-2
SRR11909922,30-40,ATAC-seq,152,2901550496,"Yang Lab\, Stanford Emergency Department",PRJNA636835,SAMN15087053,Human,1293330447,neutrophils,STANFORD UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8456536,HiSeq X Ten,D4,HMGB1-D4-2,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-06-09T00:00:00Z,HMGB1-D4-2,female,SRP265675,blood,HMGB1 challenge Donor 4-2
