Run,Group.ID,Sample.ID,Donor,Lineage,Cell_type,Stimulated,Treatment,Replicate,Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center.Name,Consent,Experiment,GEO_Accession..exp.,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,source_name,SRA.Study
SRR2753094,Corces-5852-Monocytes-Control,Corces-5852-Monocytes-Control-1,Corces-5852,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,72,4518381456,PRJNA299579,SAMN04202291,2191140218,GEO,public,SRX1363187,GSM1915599,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915599,Mono,SRP065216
SRR2753100,Corces-6792-Monocytes-Control,Corces-6792-Monocytes-Control-1,Corces-6792,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,148,4891033210,PRJNA299579,SAMN04202297,2236394303,GEO,public,SRX1363193,GSM1915605,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915605,Mono,SRP065216
SRR2753109,Corces-7256-Monocytes-Control,Corces-7256-Monocytes-Control-1,Corces-7256,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,150,4360082971,PRJNA299579,SAMN04202306,2466992256,GEO,public,SRX1363202,GSM1915614,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915614,Mono,SRP065216
SRR2753119,Corces-7653-Monocytes-Control,Corces-7653-Monocytes-Control-1,Corces-7653,MYELOID,Monocytes,FALSE,Control,1,RNA-Seq,72,2992325616,PRJNA299579,SAMN04202316,1412144122,GEO,public,SRX1363212,GSM1915624,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1915624,Mono,SRP065216
SRR11007061,Calderon-1001-CD8pos_T-Control,Calderon-1001-CD8pos_T-Control-1,Calderon-1001,CD8,CD8pos_T,FALSE,Control,1,RNA-Seq,192,8160479782,PRJNA484735,SAMN09768434,2579781267,GEO,public,SRX4510601,GSM3319750,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319750,primary blood,SRP156452
SRR11007062,Calderon-1001-CD8pos_T-Treatment_1,Calderon-1001-CD8pos_T-Treatment_1-1,Calderon-1001,CD8,CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,195,15315982752,PRJNA484735,SAMN09768433,4836924733,GEO,public,SRX4510602,GSM3319751,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319751,primary blood,SRP156452
SRR11007063,Calderon-1001-Central_memory_CD8pos_T-Control,Calderon-1001-Central_memory_CD8pos_T-Control-1,Calderon-1001,CD8,Central_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,195,13128598440,PRJNA484735,SAMN09768432,4155236675,GEO,public,SRX4510603,GSM3319752,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319752,primary blood,SRP156452
SRR11007064,Calderon-1001-Central_memory_CD8pos_T-Treatment_1,Calderon-1001-Central_memory_CD8pos_T-Treatment_1-1,Calderon-1001,CD8,Central_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,193,4866405615,PRJNA484735,SAMN09768431,1546902050,GEO,public,SRX4510604,GSM3319753,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319753,primary blood,SRP156452
SRR11007065,Calderon-1001-Effector_memory_CD8pos_T-Control,Calderon-1001-Effector_memory_CD8pos_T-Control-1,Calderon-1001,CD8,Effector_memory_CD8pos_T,FALSE,Control,1,RNA-Seq,195,9601276948,PRJNA484735,SAMN09768430,3023735003,GEO,public,SRX4510605,GSM3319754,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319754,primary blood,SRP156452
SRR11007066,Calderon-1001-Effector_memory_CD8pos_T-Treatment_1,Calderon-1001-Effector_memory_CD8pos_T-Treatment_1-1,Calderon-1001,CD8,Effector_memory_CD8pos_T,TRUE,Treatment_1,1,RNA-Seq,196,9273440229,PRJNA484735,SAMN09768429,2953466798,GEO,public,SRX4510606,GSM3319755,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319755,primary blood,SRP156452
SRR11007067,Calderon-1001-Naive_CD8_T-Control,Calderon-1001-Naive_CD8_T-Control-1,Calderon-1001,CD8,Naive_CD8_T,FALSE,Control,1,RNA-Seq,195,12134790207,PRJNA484735,SAMN09768428,3835219948,GEO,public,SRX4510607,GSM3319756,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319756,primary blood,SRP156452
SRR11007068,Calderon-1001-Naive_CD8_T-Treatment_1,Calderon-1001-Naive_CD8_T-Treatment_1-1,Calderon-1001,CD8,Naive_CD8_T,TRUE,Treatment_1,1,RNA-Seq,196,14605758793,PRJNA484735,SAMN09768427,4965780556,GEO,public,SRX4510608,GSM3319757,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319757,primary blood,SRP156452
SRR11007069,Calderon-1001-Gamma_delta_T-Control,Calderon-1001-Gamma_delta_T-Control-1,Calderon-1001,GD,Gamma_delta_T,FALSE,Control,1,RNA-Seq,193,7722603615,PRJNA484735,SAMN09768426,2432167725,GEO,public,SRX4510609,GSM3319758,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319758,primary blood,SRP156452
SRR11007070,Calderon-1001-Gamma_delta_T-Treatment_1,Calderon-1001-Gamma_delta_T-Treatment_1-1,Calderon-1001,GD,Gamma_delta_T,TRUE,Treatment_1,1,RNA-Seq,196,3757389853,PRJNA484735,SAMN09768463,1133629836,GEO,public,SRX4510610,GSM3319759,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319759,primary blood,SRP156452
SRR11007071,Calderon-1001-Effector_CD4pos_T-Control,Calderon-1001-Effector_CD4pos_T-Control-1,Calderon-1001,CD4,Effector_CD4pos_T,FALSE,Control,1,RNA-Seq,195,8127162400,PRJNA484735,SAMN09768462,2594121194,GEO,public,SRX4510611,GSM3319760,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-04T00:00:00Z,GSM3319760,primary blood,SRP156452
