Epigenome_ID,Group,Epigenome_Name,Short_Name,Segments_URL
E029,HSC & B-cell,Primary monocytes from peripheral blood,Monocytes,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E029_18_core_K27ac_hg38lift_segments.bed.gz
E032,HSC & B-cell,Primary B cells from peripheral blood,B cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E032_18_core_K27ac_hg38lift_segments.bed.gz
E034,Blood & T-cell,Primary T cells from peripheral blood,T cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E034_18_core_K27ac_hg38lift_segments.bed.gz
E038,Blood & T-cell,Primary T helper naive cells from peripheral blood,Naive T helper cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E038_18_core_K27ac_hg38lift_segments.bed.gz
E043,Blood & T-cell,Primary T helper cells from peripheral blood,T helper cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E043_18_core_K27ac_hg38lift_segments.bed.gz
E044,Blood & T-cell,Primary T regulatory cells from peripheral blood,Regulatory T cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E044_18_core_K27ac_hg38lift_segments.bed.gz
E045,Blood & T-cell,Primary T cells effector/memory enriched from peripheral blood,Effector/memory T cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E045_18_core_K27ac_hg38lift_segments.bed.gz
E046,HSC & B-cell,Primary Natural Killer cells from peripheral blood,NK cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E046_18_core_K27ac_hg38lift_segments.bed.gz
E047,Blood & T-cell,Primary T CD8+ naive cells from peripheral blood,Naive CD8+ T cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E047_18_core_K27ac_hg38lift_segments.bed.gz
E048,Blood & T-cell,Primary T CD8+ memory cells from peripheral blood,Memory CD8+ T cells,https://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E048_18_core_K27ac_hg38lift_segments.bed.gz
