task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	dc/ac39f2	829824	AGGREGATE_STAR_FRAGMENT_COUNTS	COMPLETED	0	2022-01-18 22:08:50.458	32s	17.9s	43.8%	3.4 MB	12.9 MB	248.2 MB	46.5 MB
9	9b/4e1957	829838	RNA_SEQC (7)	COMPLETED	0	2022-01-18 22:08:53.359	1m 49s	1m 36s	94.9%	287.6 MB	305.6 MB	1 GB	19.9 MB
78	fc/8bd2df	829911	RNA_SEQC (76)	COMPLETED	0	2022-01-18 22:09:21.853	1m 21s	30.9s	83.9%	280.6 MB	298.6 MB	256.8 MB	18 MB
10	20/966992	829841	RNA_SEQC (8)	COMPLETED	0	2022-01-18 22:08:54.324	1m 53s	1m 42s	95.8%	305.6 MB	323.8 MB	1.1 GB	20.7 MB
13	54/28cefa	829844	RNA_SEQC (11)	COMPLETED	0	2022-01-18 22:08:55.025	1m 52s	1m 42s	95.7%	291.9 MB	310 MB	1.2 GB	20.1 MB
51	0b/3a2dd1	829882	RNA_SEQC (49)	COMPLETED	0	2022-01-18 22:09:11.404	1m 51s	1m 43s	95.0%	315.4 MB	333.3 MB	1.1 GB	19.7 MB
12	15/6b8565	829843	RNA_SEQC (10)	COMPLETED	0	2022-01-18 22:08:54.509	2m 13s	2m 2s	96.4%	306 MB	324.1 MB	1.1 GB	20.1 MB
23	9e/a04068	829853	RNA_SEQC (21)	COMPLETED	0	2022-01-18 22:08:59.700	2m 8s	1m 58s	95.2%	281.2 MB	299.3 MB	1.1 GB	19.2 MB
7	df/d53203	829833	RNA_SEQC (5)	COMPLETED	0	2022-01-18 22:08:51.719	2m 26s	2m 12s	94.4%	281.4 MB	299.4 MB	847.9 MB	20.1 MB
39	45/d96237	829870	RNA_SEQC (37)	COMPLETED	0	2022-01-18 22:09:06.731	2m 16s	2m 3s	92.4%	287.1 MB	305.5 MB	742.3 MB	19.6 MB
70	5d/b80338	829903	RNA_SEQC (68)	COMPLETED	0	2022-01-18 22:09:20.107	2m 7s	1m 59s	96.3%	331.9 MB	349.9 MB	1.5 GB	18.3 MB
6	47/dd5692	829830	RNA_SEQC (4)	COMPLETED	0	2022-01-18 22:08:51.200	2m 41s	2m 28s	94.6%	283.1 MB	301.1 MB	980.9 MB	18.6 MB
94	c9/1d8380	829929	RNA_SEQC (92)	COMPLETED	0	2022-01-18 22:09:30.531	2m 2s	1m 55s	95.3%	314.1 MB	332.2 MB	924.1 MB	18.1 MB
62	02/93fb5f	829894	RNA_SEQC (60)	COMPLETED	0	2022-01-18 22:09:16.200	2m 36s	2m 21s	93.4%	332.5 MB	350.4 MB	1.2 GB	20.3 MB
8	2c/632daf	829836	RNA_SEQC (6)	COMPLETED	0	2022-01-18 22:08:51.925	3m 6s	2m 50s	95.1%	333.1 MB	351.1 MB	1 GB	20.2 MB
