Run,Group.ID,Sample.ID,Donor,Lineage,Cell_type,Stimulated,Treatment,Replicate,Assay.Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center.Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA.Study
SRR2920475,Corces-4983-Monocytes-Control,Corces-4983-Monocytes-Control-1,Corces-4983,MYELOID,Monocytes,FALSE,Control,1,ATAC-Seq,152,1276139712,PRJNA301969,SAMN04262115,504572193,GEO,public,SRX1427798,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937385,SRP066100
SRR2920488,Corces-6792-Monocytes-Control,Corces-6792-Monocytes-Control-1,Corces-6792,MYELOID,Monocytes,FALSE,Control,1,ATAC-Seq,152,2481512024,PRJNA301969,SAMN04262081,1142311304,GEO,public,SRX1427811,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937398,SRP066100
SRR2920476,Corces-4983-Monocytes-Control,Corces-4983-Monocytes-Control-2,Corces-4983,MYELOID,Monocytes,FALSE,Control,2,ATAC-Seq,152,1160170856,PRJNA301969,SAMN04262116,460332567,GEO,public,SRX1427799,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937386,SRP066100
SRR2920487,Corces-6792-Monocytes-Control,Corces-6792-Monocytes-Control-2,Corces-6792,MYELOID,Monocytes,FALSE,Control,2,ATAC-Seq,152,2625527768,PRJNA301969,SAMN04262080,1207718672,GEO,public,SRX1427810,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937397,SRP066100
SRR2920542,Corces-7256-Monocytes-Control,Corces-7256-Monocytes-Control-1,Corces-7256,MYELOID,Monocytes,FALSE,Control,1,ATAC-Seq,152,5824919376,PRJNA301969,SAMN04262124,2888818006,GEO,public,SRX1427865,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937452,SRP066100
SRR2920543,Corces-7256-Monocytes-Control,Corces-7256-Monocytes-Control-2,Corces-7256,MYELOID,Monocytes,FALSE,Control,2,ATAC-Seq,152,7468277560,PRJNA301969,SAMN04262125,3655086815,GEO,public,SRX1427866,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2016-06-01T00:00:00Z,GSM1937453,SRP066100
SRR7650729,Calderon-1001-Bulk_B-Control,Calderon-1001-Bulk_B-Control-1,Calderon-1001,B,Bulk_B,FALSE,Control,1,ATAC-Seq,130,7671684082,PRJNA484801,SAMN09769836,3235449960,GEO,public,SRX4513662,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320229,SRP156496
SRR7650730,Calderon-1001-Bulk_B-Treatment_1,Calderon-1001-Bulk_B-Treatment_1-1,Calderon-1001,B,Bulk_B,TRUE,Treatment_1,1,ATAC-Seq,130,8755083677,PRJNA484801,SAMN09769835,3691300841,GEO,public,SRX4513663,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320230,SRP156496
SRR7650731,Calderon-1001-Mem_B-Control,Calderon-1001-Mem_B-Control-1,Calderon-1001,B,Mem_B,FALSE,Control,1,ATAC-Seq,131,8483939942,PRJNA484801,SAMN09769834,3602660374,GEO,public,SRX4513664,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320231,SRP156496
SRR7650733,Calderon-1001-Naive_B-Control,Calderon-1001-Naive_B-Control-1,Calderon-1001,B,Naive_B,FALSE,Control,1,ATAC-Seq,132,7063118195,PRJNA484801,SAMN09769832,3012041722,GEO,public,SRX4513666,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320233,SRP156496
SRR7650735,Calderon-1001-Plasmablasts-Control,Calderon-1001-Plasmablasts-Control-1,Calderon-1001,B,Plasmablasts,FALSE,Control,1,ATAC-Seq,130,8705610661,PRJNA484801,SAMN09769830,3659122131,GEO,public,SRX4513668,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320235,SRP156496
SRR7650736,Calderon-1001-CD8pos_T-Control,Calderon-1001-CD8pos_T-Control-1,Calderon-1001,CD8,CD8pos_T,FALSE,Control,1,ATAC-Seq,132,8457505958,PRJNA484801,SAMN09769829,3669541907,GEO,public,SRX4513669,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320236,SRP156496
SRR7650750,Calderon-1001-Memory_Teffs-Treatment_1,Calderon-1001-Memory_Teffs-Treatment_1-1,Calderon-1001,CD4,Memory_Teffs,TRUE,Treatment_1,1,ATAC-Seq,122,4591000527,PRJNA484801,SAMN09769815,1956986701,GEO,public,SRX4513683,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320250,SRP156496
SRR7650751,Calderon-1001-Memory_Tregs-Control,Calderon-1001-Memory_Tregs-Control-1,Calderon-1001,CD4,Memory_Tregs,FALSE,Control,1,ATAC-Seq,134,10267057059,PRJNA484801,SAMN09769814,4376703284,GEO,public,SRX4513684,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320251,SRP156496
SRR7650752,Calderon-1001-Memory_Tregs-Treatment_1,Calderon-1001-Memory_Tregs-Treatment_1-1,Calderon-1001,CD4,Memory_Tregs,TRUE,Treatment_1,1,ATAC-Seq,131,7936679262,PRJNA484801,SAMN09769963,3378023343,GEO,public,SRX4513685,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320252,SRP156496
SRR7650753,Calderon-1001-Naive_Teffs-Control,Calderon-1001-Naive_Teffs-Control-1,Calderon-1001,CD4,Naive_Teffs,FALSE,Control,1,ATAC-Seq,131,8169687873,PRJNA484801,SAMN09769962,3485731162,GEO,public,SRX4513686,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320253,SRP156496
SRR7650754,Calderon-1001-Naive_Teffs-Treatment_1,Calderon-1001-Naive_Teffs-Treatment_1-1,Calderon-1001,CD4,Naive_Teffs,TRUE,Treatment_1,1,ATAC-Seq,130,9269036496,PRJNA484801,SAMN09769813,3921608556,GEO,public,SRX4513687,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320254,SRP156496
SRR7650755,Calderon-1001-Regulatory_T-Control,Calderon-1001-Regulatory_T-Control-1,Calderon-1001,CD4,Regulatory_T,FALSE,Control,1,ATAC-Seq,131,10924547250,PRJNA484801,SAMN09769812,4635256811,GEO,public,SRX4513688,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-09-06T00:00:00Z,GSM3320255,SRP156496
